City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Rikitea,PF,72.77,few clouds,-23.1203,-134.9692,People ThankYou
2,Busselton,AU,54.97,overcast clouds,-33.65,115.3333,Observatory Guest House
3,East London,ZA,62.71,overcast clouds,-33.0153,27.9116,Tu Casa
4,Marawi,PH,69.75,overcast clouds,7.9986,124.2928,Derogongan Residence
5,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,Cape Town,ZA,53.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
7,Paamiut,GL,39.69,few clouds,61.994,-49.6678,Pistut
8,Georgetown,MY,82.89,thunderstorm with heavy rain,5.4112,100.3354,Cititel Penang
9,Ushuaia,AR,29.86,broken clouds,-54.8,-68.3,Albatross Hotel
11,Hobart,AU,50.25,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Atuona,PF,77.2,broken clouds,-9.8,-139.0333,Villa Enata
13,Rawson,AR,39.7,light rain,-43.3002,-65.1023,Hosteria Sampedro
14,Kieta,PG,80.02,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
15,Mataura,NZ,32.49,broken clouds,-46.1927,168.8643,Ellie's Villa
16,Salinopolis,BR,78.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
17,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
18,Bealanana,MG,51.44,few clouds,-14.55,48.7333,Le Delta
21,Tuktoyaktuk,CA,50.0,mist,69.4541,-133.0374,End of The Road Ltd.
22,Bluff,NZ,32.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
23,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Nong Phai,TH,73.63,overcast clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
25,Butaritari,KI,82.63,few clouds,3.0707,172.7902,Isles Sunset Lodge
26,Victoria,HK,86.18,overcast clouds,22.2855,114.1577,Mini Central
27,San Joaquin,US,95.95,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
29,Haifa,IL,78.17,few clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
