City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,55,7.0,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,72.77,78,17,4.21,few clouds
2,Busselton,AU,-33.65,115.3333,54.97,63,99,1.81,overcast clouds
3,East London,ZA,-33.0153,27.9116,62.71,64,99,7.45,overcast clouds
4,Marawi,PH,7.9986,124.2928,69.75,87,97,5.17,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,55.42,76,0,11.5,clear sky
6,Cape Town,ZA,-33.9258,18.4232,53.11,89,0,1.01,clear sky
7,Paamiut,GL,61.994,-49.6678,39.69,91,24,20.51,few clouds
8,Georgetown,MY,5.4112,100.3354,82.89,90,20,9.22,thunderstorm with heavy rain
9,Ushuaia,AR,-54.8,-68.3,29.86,74,75,8.05,broken clouds
10,Albany,US,42.6001,-73.9662,82.02,36,84,3.22,broken clouds
11,Hobart,AU,-42.8794,147.3294,50.25,77,0,14.97,clear sky
12,Atuona,PF,-9.8,-139.0333,77.2,79,54,18.59,broken clouds
13,Rawson,AR,-43.3002,-65.1023,39.7,95,100,30.38,light rain
14,Kieta,PG,-6.2167,155.6333,80.02,80,90,5.37,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,32.49,91,58,3.85,broken clouds
16,Salinopolis,BR,-0.6136,-47.3561,78.3,86,94,8.59,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,70.2,64,40,2.3,scattered clouds
18,Bealanana,MG,-14.55,48.7333,51.44,96,15,4.85,few clouds
19,Ouallam,NE,14.3188,2.0866,83.26,61,95,10.07,moderate rain
20,Sonoita,MX,31.85,-112.8333,106.27,14,18,8.81,few clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,4.61,mist
22,Bluff,NZ,-46.6,168.3333,32.81,80,68,15.52,broken clouds
23,Kapaa,US,22.0752,-159.319,82.72,75,40,16.11,scattered clouds
24,Nong Phai,TH,15.9903,101.0618,73.63,96,100,0.6,overcast clouds
25,Butaritari,KI,3.0707,172.7902,82.63,77,16,16.96,few clouds
26,Victoria,HK,22.2855,114.1577,86.18,84,90,5.01,overcast clouds
27,San Joaquin,US,37.9333,-121.3011,95.95,29,0,11.5,clear sky
28,Srednekolymsk,RU,67.45,153.6833,65.5,45,36,17.02,scattered clouds
29,Haifa,IL,32.8156,34.9892,78.17,77,19,1.99,few clouds
30,Codrington,AU,-38.2667,141.9667,49.17,63,100,19.26,overcast clouds
31,Pangnirtung,CA,66.1451,-65.7125,51.8,71,20,4.61,few clouds
32,Panji,ID,-7.7253,114.0995,74.19,79,91,4.81,overcast clouds
33,Torbay,CA,47.6666,-52.7314,66.97,57,20,25.32,few clouds
34,Punta Arenas,CL,-53.15,-70.9167,35.71,75,40,2.3,scattered clouds
35,Sitka,US,57.0531,-135.33,60.69,59,100,12.66,overcast clouds
36,Gornopravdinsk,RU,60.05,69.9,65.01,90,3,3.76,clear sky
37,Hermanus,ZA,-34.4187,19.2345,50.81,69,58,7.61,broken clouds
38,Yulara,AU,-25.2406,130.9889,43.2,48,0,6.22,clear sky
39,Katsuura,JP,35.1333,140.3,75.43,92,7,2.8,clear sky
40,Chuy,UY,-33.6971,-53.4616,65.84,87,23,7.14,few clouds
41,Hilo,US,19.7297,-155.09,84.27,91,100,5.01,moderate rain
42,Isiro,CD,2.7739,27.616,65.98,88,34,1.77,scattered clouds
43,Arani,IN,12.6667,79.2833,80.8,57,98,13.18,overcast clouds
44,Lavrentiya,RU,65.5833,-171.0,49.6,82,100,6.35,overcast clouds
45,Flinders,AU,-34.5833,150.8552,49.37,93,49,8.61,light rain
46,Dikson,RU,73.5069,80.5464,37.83,90,100,2.91,overcast clouds
47,Mpongwe,ZM,-13.5091,28.155,53.85,73,0,4.85,clear sky
48,Yellowknife,CA,62.456,-114.3525,68.56,73,75,8.01,thunderstorm with light rain
49,Alice Springs,AU,-23.7,133.8833,27.95,80,0,6.91,clear sky
50,Half Moon Bay,US,37.4636,-122.4286,93.88,64,20,6.91,few clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,73,0,20.71,clear sky
52,Melfi,IT,40.9965,15.6514,61.48,59,0,3.83,clear sky
53,Sayat,TM,38.7839,63.8803,80.47,20,0,10.2,clear sky
54,Cabedelo,BR,-6.9811,-34.8339,79.47,80,13,14.67,few clouds
55,Goure,NE,13.9835,10.2704,87.03,30,79,6.13,broken clouds
56,Raudeberg,NO,61.9875,5.1352,50.95,74,96,6.71,overcast clouds
57,Atar,MR,20.5169,-13.0499,101.44,11,0,8.95,clear sky
58,Bitung,ID,1.4451,125.1824,77.85,88,81,12.84,broken clouds
59,Rapid Valley,US,44.0625,-103.1463,95.04,26,0,25.32,clear sky
60,Aksay,RU,47.26,39.87,86.22,66,100,4.7,light rain
61,Nouakchott,MR,18.0858,-15.9785,75.13,84,4,12.37,clear sky
62,Coihaique,CL,-45.5752,-72.0662,30.15,86,75,3.44,broken clouds
63,Kushiro,JP,42.975,144.3747,60.6,99,100,9.01,overcast clouds
64,Kodiak,US,57.79,-152.4072,58.51,67,100,11.5,overcast clouds
65,San Patricio,US,28.017,-97.5169,102.92,31,7,14.52,clear sky
66,Faanui,PF,-16.4833,-151.75,78.53,73,90,19.01,light rain
67,Luwuk,ID,-0.9516,122.7875,74.35,90,100,3.22,overcast clouds
68,Senanga,ZM,-16.1167,23.2667,59.2,48,0,5.64,clear sky
69,Banda Aceh,ID,5.5577,95.3222,80.67,75,100,17.2,overcast clouds
70,Jamestown,US,42.097,-79.2353,82.06,30,0,1.99,clear sky
71,Glendive,US,47.1053,-104.7125,84.69,46,0,16.11,clear sky
72,Thompson,CA,55.7435,-97.8558,78.96,47,40,12.66,scattered clouds
73,Sept-Iles,CA,50.2001,-66.3821,61.32,71,75,4.61,broken clouds
