City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dwarka,IN,2022-07-07 01:26:10,22.2394,68.9678,82.53,86,69,16.71
1,Albany,US,2022-07-07 01:21:25,42.6001,-73.9662,70.05,78,15,2.66
2,Kahului,US,2022-07-07 01:21:21,20.8947,-156.47,85.96,62,20,25.32
3,Ginir,ET,2022-07-07 01:26:10,7.1333,40.7,56.41,83,24,10.96
4,Ushuaia,AR,2022-07-07 01:20:05,-54.8,-68.3,26.26,74,0,5.75
5,Mar Del Plata,AR,2022-07-07 01:20:05,-38.0023,-57.5575,49.08,95,100,3.44
6,Riacho De Santana,BR,2022-07-07 01:26:11,-13.6092,-42.9389,67.95,71,0,11.21
7,Hilo,US,2022-07-07 01:18:50,19.7297,-155.09,88.29,58,0,8.05
8,Vaini,TO,2022-07-07 01:21:25,-21.2,-175.2,77.16,69,40,6.91
9,Luderitz,NA,2022-07-07 01:26:11,-26.6481,15.1594,55.02,61,0,7.31
10,Zaliztsi,UA,2022-07-07 01:26:11,49.7919,25.373,52.11,94,100,5.37
11,Miles City,US,2022-07-07 01:21:57,46.4083,-105.8406,86.97,42,0,8.05
12,Kismayo,SO,2022-07-07 01:26:12,-0.3582,42.5454,76.01,80,100,20.33
13,Davila,PH,2022-07-07 01:26:12,18.4726,120.5763,85.98,74,57,5.01
14,Thompson,CA,2022-07-07 01:21:20,55.7435,-97.8558,69.96,43,100,9.22
15,The Valley,AI,2022-07-07 01:22:25,18.217,-63.0578,82.26,79,7,18.77
16,Panacan,PH,2022-07-07 01:26:12,9.2463,118.4082,81.93,78,100,0.87
17,Isabela,PH,2022-07-07 01:26:13,6.7085,121.9711,77.05,73,100,5.32
18,Yellowknife,CA,2022-07-07 01:22:36,62.456,-114.3525,72.12,40,75,8.05
19,Sept-Iles,CA,2022-07-07 01:22:35,50.2001,-66.3821,59.0,70,20,4.61
20,Qaanaaq,GL,2022-07-07 01:22:36,77.484,-69.3632,39.76,95,100,1.3
21,Cherskiy,RU,2022-07-07 01:26:13,68.75,161.3,54.88,50,100,5.61
22,Nishihara,JP,2022-07-07 01:26:13,26.1842,127.7558,86.05,79,75,10.36
23,Ribeira Grande,PT,2022-07-07 01:23:47,38.5167,-28.7,66.49,81,100,14.0
